Ticker,Name,Sector,Industry,Close,Final_Score,Tech_Score,Fund_Score,Sent_Score,Pre_Score,Forecast_Score,Intrinsic_Value,Margin_Safety,PE_Ratio,ROE,Debt_to_Equity,PEG_Ratio,Market_Cap,Div_Yield,ROCE,OPM,FreeCashFlow,SalesGrowth3Y,ProfitGrowth3Y,QtrSalesGrowth,QtrProfitGrowth,Reason
AARVI.NS,AARVI.NS,Industrials,Staffing & Employment Services,128.02,0.99,0.8,1.0,0.537,0.7105499999999999,1.0,138.9,9.95,13.159374,0.11412,24.178,0,1871035776,1.56,9.397743395005804,3.2399999999999998,1.3461,21.151585644907357,-5.932802641100321,31.3,126.8,Strong technical uptrend (RSI/MACD bullish). Undervalued by ~8% (Graham). High Financial Strength (F-Score 7/9).
AUSOMENT.NS,AUSOMENT.NS,Financial Services,Capital Markets,127.97,0.99,0.8,1.0,0.5,0.7049999999999998,1.0,231.22,79.24,6.3235297,0.19156,0.078,0,1757438336,0.78,15.46819161534404,1.2,13.0332752,353.2362500103122,53.87254253989293,21406.399999999998,-6.3,DCF Undervalued by 79.24%. Strong technical uptrend (RSI/MACD bullish). Undervalued by ~80% (Graham). High Financial Strength (F-Score 7/9).
ONGC.NS,ONGC.NS,Energy,Oil & Gas Integrated,248.23,0.9774479999999999,0.8,0.8571428571428571,0.5636,0.6645399999999999,1.0,437.84,76.56,8.515797,0.10977,43.805,0,3120308944896,7.35,12.925260944556577,10.922,39161.9936256,7.5644361275002625,-7.331705014416712,-0.3,5.0,DCF Undervalued by 76.56%. Strong technical uptrend (RSI/MACD bullish). Undervalued by ~76% (Graham).
COALINDIA.NS,COALINDIA.NS,Energy,Thermal Coal,432.2,0.9432827999999999,0.8,1.0,0.54046,0.711069,0.5,441.37,2.24,8.529935,0.30576,12.976,0,2660449910784,6.13,44.0914694595074,19.155,12640.436224,7.310444836038066,26.76396754338757,18.5,-30.8,Strong technical uptrend (RSI/MACD bullish). Undervalued by ~2% (Graham). High Financial Strength (F-Score 7/9).
SAMMAANCAP.NS,SAMMAANCAP.NS,Financial Services,Mortgage Finance,142.97,0.9421710000000001,0.8,0.7142857142857143,0.70095,0.6351425,1.0,369.8,158.62,6.4701357,0.05994,203.545,0,116653211648,1.4,-1.6552000221850098,56.434,0,37.206495766408224,nan,0,0,DCF Undervalued by 158.62%. Strong technical uptrend (RSI/MACD bullish). Undervalued by ~158% (Graham). High Financial Strength (F-Score 7/9). Positive Market Sentiment.
BEARDSELL.NS,BEARDSELL.NS,Industrials,Building Products & Equipment,29.69,0.9419999999999998,0.6,1.0,0.5,0.6349999999999999,1.0,34.02,13.96,12.648306,0.115109995,36.022,0,1177194496,0.34,15.22875816993464,5.83,8.4407752,12.969638950729824,51.803714788443834,3.6999999999999997,-35.0,Undervalued by ~14% (Graham). High Financial Strength (F-Score 7/9).
AGROPHOS.NS,AGROPHOS.NS,Basic Materials,Agricultural Inputs,39.0,0.9419999999999998,0.6,1.0,0.5,0.6349999999999999,1.0,43.95,12.73,15.721775,0.17263001,37.092,0,790487808,2.56,-8.32250377206277,8.239,5.0859,16.700450548905764,nan,27.200000000000003,390.5,Undervalued by ~12% (Graham). High Financial Strength (F-Score 7/9).
SUMEETINDS.NS,SUMEETINDS.NS,Consumer Cyclical,Textile Manufacturing,28.2,0.9419999999999998,0.6,1.0,0.5,0.6349999999999999,1.0,290.3,923.62,0.57374066,7.21817,48.264,0,14926597120,0,71.02513316254412,3.8280000000000003,27.6268736,3.9413159496992645,288.04772973756207,11.3,-29.799999999999997,DCF Undervalued by 923.62%. Undervalued by ~929% (Graham). High Financial Strength (F-Score 7/9).
KALAMANDIR.NS,KALAMANDIR.NS,Consumer Cyclical,Apparel Retail,121.55,0.9419999999999998,0.6,1.0,0.5,0.6349999999999999,1.0,126.32,3.97,13.806818,0.11468001,25.323,0,17903022080,0.82,14.073680399904493,12.797,173.2999936,8.769927760887231,16.20980235336129,27.900000000000002,68.89999999999999,Undervalued by ~3% (Graham). High Financial Strength (F-Score 7/9).
KRBL.NS,KRBL.NS,Consumer Defensive,Packaged Foods,357.75,0.9375305999999999,0.6,1.0,0.47517,0.6312754999999999,1.0,378.78,5.95,13.429751,0.11677,1.295,0,81828134912,0.98,11.635641138852886,13.467,1071.4887168,9.794140789222382,1.1937894750891465,18.9,67.5,Undervalued by ~5% (Graham). High Financial Strength (F-Score 7/9).
