SYMBOL,NAME OF COMPANY, ISIN NUMBER,Ticker
CASTROLIND,Castrol India Limited,INE172A01027,CASTROLIND.NS
CCCL,Consolidated Construction Consortium Limited,INE429I01024,CCCL.NS
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,CCHHL.NS
CCL,CCL Products (India) Limited,INE421D01022,CCL.NS
CDSL,Central Depository Services (India) Limited,INE736A01011,CDSL.NS
CEATLTD,CEAT Limited,INE482A01020,CEATLTD.NS
CEIGALL,Ceigall India Limited,INE0AG901020,CEIGALL.NS
CELEBRITY,Celebrity Fashions Limited,INE185H01016,CELEBRITY.NS
CELLO,Cello World Limited,INE0LMW01024,CELLO.NS
CEMPRO,Cemindia Projects Limited,INE686A01026,CEMPRO.NS
CENTENKA,Century Enka Limited,INE485A01015,CENTENKA.NS
CENTEXT,Century Extrusions Limited,INE281A01026,CENTEXT.NS
CENTRALBK,Central Bank of India,INE483A01010,CENTRALBK.NS
CENTRUM,Centrum Capital Limited,INE660C01027,CENTRUM.NS
CENTUM,Centum Electronics Limited,INE320B01020,CENTUM.NS
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,CENTURYPLY.NS
CERA,Cera Sanitaryware Limited,INE739E01017,CERA.NS
CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,CEREBRAINT.NS
CESC,CESC Limited,INE486A01021,CESC.NS
CEWATER,Concord Enviro Systems Limited,INE037Z01029,CEWATER.NS
CGCL,Capri Global Capital Limited,INE180C01042,CGCL.NS
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,CGPOWER.NS
CHALET,Chalet Hotels Limited,INE427F01016,CHALET.NS
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,CHAMBLFERT.NS
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,CHEMBOND.NS
CHEMBONDCH,Chembond Chemicals Limited,INE0TGX01019,CHEMBONDCH.NS
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018,CHEMCON.NS
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,CHEMFAB.NS
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,CHEMPLASTS.NS
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,CHENNPETRO.NS
CHEVIOT,Cheviot Company Limited,INE974B01016,CHEVIOT.NS
CHOICEIN,Choice International Limited,INE102B01014,CHOICEIN.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,CHOLAFIN.NS
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,CHOLAHLDNG.NS
CIEINDIA,CIE Automotive India Limited,INE536H01010,CIEINDIA.NS
CIFL,Capital India Finance Limited,INE345H01024,CIFL.NS
CIGNITITEC,Cigniti Technologies Limited,INE675C01017,CIGNITITEC.NS
CINELINE,Cineline India Limited,INE704H01022,CINELINE.NS
CINEVISTA,Cinevista Limited,INE039B01026,CINEVISTA.NS
CIPLA,Cipla Limited,INE059A01026,CIPLA.NS
CLEAN,Clean Science and Technology Limited,INE227W01023,CLEAN.NS
CLEDUCATE,CL Educate Limited,INE201M01029,CLEDUCATE.NS
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,CLSEL.NS
CMSINFO,CMS Info Systems Limited,INE925R01014,CMSINFO.NS
CNL,Creative Newtech Limited,INE985W01018,CNL.NS
COALINDIA,Coal India Limited,INE522F01014,COALINDIA.NS
COASTCORP,Coastal Corporation Limited,INE377E01024,COASTCORP.NS
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,COCHINSHIP.NS
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,COFFEEDAY.NS
COFORGE,Coforge Limited,INE591G01025,COFORGE.NS
COHANCE,Cohance Lifesciences Limited,INE03QK01018,COHANCE.NS
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,COLPAL.NS
COMPINFO,Compuage Infocom Limited,INE070C01037,COMPINFO.NS
COMPUSOFT,Compucom Software Limited,INE453B01029,COMPUSOFT.NS
COMSYN,Commercial Syn Bags Limited,INE073V01015,COMSYN.NS
CONCOR,Container Corporation of India Limited,INE111A01025,CONCOR.NS
CONCORDBIO,Concord Biotech Limited,INE338H01029,CONCORDBIO.NS
CONFIPET,Confidence Petroleum India Limited,INE552D01024,CONFIPET.NS
CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,CONSOFINVT.NS
CONTROLPR,Control Print Limited,INE663B01015,CONTROLPR.NS
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,CORALFINAC.NS
CORDSCABLE,Cords Cable Industries Limited,INE792I01017,CORDSCABLE.NS
COROMANDEL,Coromandel International Limited,INE169A01031,COROMANDEL.NS
CORONA,CORONA Remedies Limited,INE02ZQ01018,CORONA.NS
COSMOFIRST,COSMO FIRST LIMITED,INE757A01017,COSMOFIRST.NS
COUNCODOS,Country Condo's Limited,INE695B01025,COUNCODOS.NS
CPCAP,CP Capital Limited,INE521J01018,CPCAP.NS
CPEDU,Career Point Edutech Limited,INE0P6P01016,CPEDU.NS
CPPLUS,Aditya Infotech Limited,INE819V01029,CPPLUS.NS
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,CRAFTSMAN.NS
CRAMC,Canara Robeco Asset Management Company Limited,INE218I01013,CRAMC.NS
CREATIVEYE,Creative Eye Limited,INE230B01021,CREATIVEYE.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,CREDITACC.NS
CREST,Crest Ventures Limited,INE559D01011,CREST.NS
CRISIL,CRISIL Limited,INE007A01025,CRISIL.NS
CRIZAC,Crizac Limited,INE0S4R01014,CRIZAC.NS
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,CROMPTON.NS
CROWN,Crown Lifters Limited,INE491V01019,CROWN.NS
CSBBANK,CSB Bank Limited,INE679A01013,CSBBANK.NS
CSLFINANCE,CSL Finance Limited,INE718F01018,CSLFINANCE.NS
CTE,Cambridge Technology Enterprises Limited,INE627H01017,CTE.NS
CUB,City Union Bank Limited,INE491A01021,CUB.NS
CUBEXTUB,Cubex Tubings Limited,INE144D01012,CUBEXTUB.NS
CUMMINSIND,Cummins India Limited,INE298A01020,CUMMINSIND.NS
CUPID,Cupid Limited,INE509F01029,CUPID.NS
CURAA,Cura Technologies Limited,INE117B01020,CURAA.NS
CYBERMEDIA,Cyber Media (India) Limited,INE278G01037,CYBERMEDIA.NS
CYBERTECH,Cybertech Systems And Software Limited,INE214A01019,CYBERTECH.NS
CYIENT,Cyient Limited,INE136B01020,CYIENT.NS
CYIENTDLM,Cyient DLM Limited,INE055S01018,CYIENTDLM.NS
DABUR,Dabur India Limited,INE016A01026,DABUR.NS
DALBHARAT,Dalmia Bharat Limited,INE00R701025,DALBHARAT.NS
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,DALMIASUG.NS
DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025,DAMCAPITAL.NS
DAMODARIND,Damodar Industries Limited,INE497D01022,DAMODARIND.NS
DANGEE,Dangee Dums Limited,INE688Y01022,DANGEE.NS
DATAMATICS,Datamatics Global Services Limited,INE365B01017,DATAMATICS.NS
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,DATAPATTNS.NS
DAVANGERE,Davangere Sugar Company Limited,INE179G01029,DAVANGERE.NS
DBCORP,D.B.Corp Limited,INE950I01011,DBCORP.NS
DBEIL,Deepak Builders & Engineers India Limited,INE0OPA01019,DBEIL.NS
DBL,Dilip Buildcon Limited,INE917M01012,DBL.NS
DBOL,Dhampur Bio Organics Limited,INE0I3401014,DBOL.NS
DBREALTY,Valor Estate Limited,INE879I01012,DBREALTY.NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,DBSTOCKBRO.NS
DCAL,Dishman Carbogen Amcis Limited,INE385W01011,DCAL.NS
DCBBANK,DCB Bank Limited,INE503A01015,DCBBANK.NS
DCI,Dc Infotech And Communication Limited,INE0A1101019,DCI.NS
DCM,DCM  Limited,INE498A01018,DCM.NS
DCMFINSERV,DCM Financial Services Limited,INE891B01012,DCMFINSERV.NS
DCMNVL,DCM Nouvelle Limited,INE08KP01019,DCMNVL.NS
DCMSHRIRAM,DCM Shriram Limited,INE499A01024,DCMSHRIRAM.NS
DCMSRIND,DCM Shriram Industries Limited,INE843D01027,DCMSRIND.NS
DCW,DCW Limited,INE500A01029,DCW.NS
DCXINDIA,DCX Systems Limited,INE0KL801015,DCXINDIA.NS
DDEVPLSTIK,Ddev Plastiks Industries Limited,INE0HR601026,DDEVPLSTIK.NS
DECCANCE,Deccan Cements Limited,INE583C01021,DECCANCE.NS
DEEDEV,DEE Development Engineers Limited,INE841L01016,DEEDEV.NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,INE501A01019,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,DEEPAKNTR.NS
DEEPINDS,Deep Industries Limited,INE0FHS01024,DEEPINDS.NS
DELHIVERY,Delhivery Limited,INE148O01028,DELHIVERY.NS
DELPHIFX,DELPHI WORLD MONEY LIMITED,INE726L01019,DELPHIFX.NS
DELTACORP,Delta Corp Limited,INE124G01033,DELTACORP.NS
DELTAMAGNT,Delta Manufacturing Limited,INE393A01011,DELTAMAGNT.NS
DEN,Den Networks Limited,INE947J01015,DEN.NS
DENORA,De Nora India Limited,INE244A01016,DENORA.NS
DENTA,Denta Water and Infra Solutions Limited,INE0R4L01018,DENTA.NS
DEVIT,Dev Information Technology Limited,INE060X01034,DEVIT.NS
DEVX,Dev Accelerator Limited,INE0VOV01021,DEVX.NS
DEVYANI,Devyani International Limited,INE872J01023,DEVYANI.NS
DGCONTENT,Digicontent Limited,INE03JI01017,DGCONTENT.NS
DHAMPURSUG,Dhampur Sugar Mills Limited,INE041A01016,DHAMPURSUG.NS
DHANBANK,Dhanlaxmi Bank Limited,INE680A01011,DHANBANK.NS
DHANUKA,Dhanuka Agritech Limited,INE435G01025,DHANUKA.NS
DHARAN,DHARAN INFRA-EPC LIMITED,INE278R01034,DHARAN.NS
DHARMAJ,Dharmaj Crop Guard Limited,INE00OQ01016,DHARMAJ.NS
DHRUV,Dhruv Consultancy Services Limited,INE506Z01015,DHRUV.NS
DHUNINV,Dhunseri Investments Limited,INE320L01011,DHUNINV.NS
DIACABS,Diamond Power Infrastructure Limited,INE989C01038,DIACABS.NS
DIAMINESQ,Diamines & Chemicals Limited,INE591D01014,DIAMINESQ.NS
DIAMONDYD,Prataap Snacks Limited,INE393P01035,DIAMONDYD.NS
DICIND,DIC India Limited,INE303A01010,DICIND.NS
DIFFNKG,Diffusion Engineers Limited,INE184O01015,DIFFNKG.NS
DIGIDRIVE,Digidrive Distributors Limited,INE0PSC01024,DIGIDRIVE.NS
DIGISPICE,DiGiSPICE Technologies Limited,INE927C01020,DIGISPICE.NS
DIGITIDE,Digitide Solutions Limited,INE0U4701011,DIGITIDE.NS
DIGJAMLMTD,Digjam Limited,INE731U01028,DIGJAMLMTD.NS
DIL,Debock Industries Limited,INE411Y01011,DIL.NS
DISHTV,Dish TV India Limited,INE836F01026,DISHTV.NS
DIVGIITTS,Divgi Torqtransfer Systems Limited,INE753U01022,DIVGIITTS.NS
DIVISLAB,Divi's Laboratories Limited,INE361B01024,DIVISLAB.NS
DIXON,Dixon Technologies (India) Limited,INE935N01020,DIXON.NS
DJML,DJ Mediaprint & Logistics Limited,INE0B1K01014,DJML.NS
DLF,DLF Limited,INE271C01023,DLF.NS
DLINKINDIA,D-Link (India) Limited,INE250K01012,DLINKINDIA.NS
DMART,Avenue Supermarts Limited,INE192R01011,DMART.NS
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,INE505A01010,DMCC.NS
DNAMEDIA,Diligent Media Corporation Limited,INE016M01021,DNAMEDIA.NS
DODLA,Dodla Dairy Limited,INE021O01019,DODLA.NS
DOLATALGO,Dolat Algotech Limited,INE966A01022,DOLATALGO.NS
DOLLAR,Dollar Industries Limited,INE325C01035,DOLLAR.NS
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,INE920A01037,DOLPHIN.NS
DOMS,DOMS Industries Limited,INE321T01012,DOMS.NS
DONEAR,Donear Industries Limited,INE668D01028,DONEAR.NS
DPABHUSHAN,D. P. Abhushan Limited,INE266Y01019,DPABHUSHAN.NS
DPSCLTD,DPSC Limited,INE360C01024,DPSCLTD.NS
DPWIRES,D P Wires Limited,INE864X01013,DPWIRES.NS
DRCSYSTEMS,DRC Systems India Limited,INE03RS01027,DRCSYSTEMS.NS
DREAMFOLKS,Dreamfolks Services Limited,INE0JS101016,DREAMFOLKS.NS
DREDGECORP,Dredging Corporation of India Limited,INE506A01018,DREDGECORP.NS
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,DRREDDY.NS
DSSL,Dynacons Systems & Solutions Limited,INE417B01040,DSSL.NS
DTIL,Dhunseri Tea & Industries Limited,INE341R01014,DTIL.NS
DUCON,Ducon Infratechnologies Limited,INE741L01018,DUCON.NS
DVL,Dhunseri Ventures Limited,INE477B01010,DVL.NS
DWARKESH,Dwarikesh Sugar Industries Limited,INE366A01041,DWARKESH.NS
DYCL,Dynamic Cables Limited,INE600Y01019,DYCL.NS
DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,DYNAMATECH.NS
DYNPRO,Dynemic Products Limited,INE256H01015,DYNPRO.NS
E2E,E2E Networks Limited,INE255Z01019,E2E.NS
EASEMYTRIP,Easy Trip Planners Limited,INE07O001026,EASEMYTRIP.NS
EBGNG,GNG Electronics Limited,INE18JU01028,EBGNG.NS
ECLERX,eClerx Services Limited,INE738I01010,ECLERX.NS
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,INE06HJ01020,ECOSMOBLTY.NS
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,EDELWEISS.NS
EFCIL,EFC (I) Limited,INE886D01026,EFCIL.NS
EICHERMOT,Eicher Motors Limited,INE066A01021,EICHERMOT.NS
EIDPARRY,EID Parry India Limited,INE126A01031,EIDPARRY.NS
EIEL,Enviro Infra Engineers Limited,INE0LLY01014,EIEL.NS
EIFFL,Euro India Fresh Foods Limited,INE546V01010,EIFFL.NS
EIHAHOTELS,EIH Associated Hotels Limited,INE276C01014,EIHAHOTELS.NS
EIHOTEL,EIH Limited,INE230A01023,EIHOTEL.NS
EIMCOELECO,Eimco Elecon (India) Limited,INE158B01016,EIMCOELECO.NS
EKC,Everest Kanto Cylinder Limited,INE184H01027,EKC.NS
ELDEHSG,Eldeco Housing And Industries Limited,INE668G01021,ELDEHSG.NS
ELECON,Elecon Engineering Company Limited,INE205B01031,ELECON.NS
ELECTCAST,Electrosteel Castings Limited,INE086A01029,ELECTCAST.NS
ELECTHERM,Electrotherm (India) Limited,INE822G01016,ELECTHERM.NS
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,ELGIEQUIP.NS
ELGIRUBCO,Elgi Rubber Company Limited,INE819L01012,ELGIRUBCO.NS
ELIN,Elin Electronics Limited,INE050401020,ELIN.NS
ELLEN,Ellenbarrie Industrial Gases Limited,INE236E01022,ELLEN.NS
EMAMILTD,Emami Limited,INE548C01032,EMAMILTD.NS
EMAMIPAP,Emami Paper Mills Limited,INE830C01026,EMAMIPAP.NS
EMAMIREAL,Emami Realty Limited,INE778K01012,EMAMIREAL.NS
EMBDL,Embassy Developments Limited,INE069I01010,EMBDL.NS
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,EMCURE.NS
EMIL,Electronics Mart India Limited,INE02YR01019,EMIL.NS
EMKAY,Emkay Global Financial Services Limited,INE296H01011,EMKAY.NS
EMMBI,Emmbi Industries Limited,INE753K01015,EMMBI.NS
EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,EMMVEE.NS
EMSLIMITED,EMS Limited,INE0OV601013,EMSLIMITED.NS
EMUDHRA,eMudhra Limited,INE01QM01018,EMUDHRA.NS
ENDURANCE,Endurance Technologies Limited,INE913H01037,ENDURANCE.NS
ENERGYDEV,Energy Development Company Limited,INE306C01019,ENERGYDEV.NS
ENGINERSIN,Engineers India Limited,INE510A01028,ENGINERSIN.NS
ENIL,Entertainment Network (India) Limited,INE265F01028,ENIL.NS
ENRIN,Siemens Energy India Limited,INE1NPP01017,ENRIN.NS
ENTERO,Entero Healthcare Solutions Limited,INE010601016,ENTERO.NS
EPACK,EPACK Durable Limited,INE0G5901015,EPACK.NS
EPACKPEB,EPack Prefab Technologies Limited,INE0MLS01022,EPACKPEB.NS
EPIGRAL,Epigral Limited,INE071N01016,EPIGRAL.NS
EPL,EPL Limited,INE255A01020,EPL.NS
EQUIPPP,Equippp Social Impact Technologies Limited,INE217G01035,EQUIPPP.NS
EQUITASBNK,Equitas Small Finance Bank Limited,INE063P01018,EQUITASBNK.NS
ERIS,Eris Lifesciences Limited,INE406M01024,ERIS.NS
ESABINDIA,Esab India Limited,INE284A01012,ESABINDIA.NS
ESAFSFB,ESAF Small Finance Bank Limited,INE818W01011,ESAFSFB.NS
ESCORTS,Escorts Kubota Limited,INE042A01014,ESCORTS.NS
ESSARSHPNG,Essar Shipping Limited,INE122M01019,ESSARSHPNG.NS
ESSENTIA,Integra Essentia Limited,INE418N01035,ESSENTIA.NS
ESTER,Ester Industries Limited,INE778B01029,ESTER.NS
ETERNAL,ETERNAL LIMITED,INE758T01015,ETERNAL.NS
ETHOSLTD,Ethos Limited,INE04TZ01018,ETHOSLTD.NS
EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,EUREKAFORB.NS
EUROBOND,Euro Panel Products Limited,INE505V01016,EUROBOND.NS
EUROPRATIK,Euro Pratik Sales Limited,INE198501012,EUROPRATIK.NS
EUROTEXIND,Eurotex Industries and Exports Limited,INE022C01012,EUROTEXIND.NS
EVEREADY,Eveready Industries India Limited,INE128A01029,EVEREADY.NS
EVERESTIND,Everest Industries Limited,INE295A01018,EVERESTIND.NS
EXCEL,Excel Realty N Infra Limited,INE688J01023,EXCEL.NS
EXCELINDUS,Excel Industries Limited,INE369A01029,EXCELINDUS.NS
EXCELSOFT,Excelsoft Technologies Limited,INE606N01019,EXCELSOFT.NS
EXICOM,Exicom Tele-Systems Limited,INE777F01014,EXICOM.NS
EXIDEIND,Exide Industries Limited,INE302A01020,EXIDEIND.NS
EXPLEOSOL,Expleo Solutions Limited,INE201K01015,EXPLEOSOL.NS
EXXARO,Exxaro Tiles Limited,INE0GFE01026,EXXARO.NS
FABTECH,Fabtech Technologies Limited,INE0HF201011,FABTECH.NS
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,FACT.NS
FAIRCHEMOR,Fairchem Organics Limited,INE0DNW01011,FAIRCHEMOR.NS
FAZE3Q,Faze Three Limited,INE963C01033,FAZE3Q.NS
FCL,Fineotex Chemical Limited,INE045J01034,FCL.NS
FCSSOFT,FCS Software Solutions Limited,INE512B01022,FCSSOFT.NS
FDC,FDC Limited,INE258B01022,FDC.NS
FEDERALBNK,The Federal Bank  Limited,INE171A01029,FEDERALBNK.NS
FEDFINA,Fedbank Financial Services Limited,INE007N01010,FEDFINA.NS
FEL,Future Enterprises Limited,INE623B01027,FEL.NS
FELDVR,Future Enterprises Limited,IN9623B01058,FELDVR.NS
FIBERWEB,Fiberweb (India) Limited,INE296C01020,FIBERWEB.NS
FIEMIND,Fiem Industries Limited,INE737H01014,FIEMIND.NS
FILATEX,Filatex India Limited,INE816B01035,FILATEX.NS
FILATFASH,Filatex Fashions Limited,INE185E01021,FILATFASH.NS
FINCABLES,Finolex Cables Limited,INE235A01022,FINCABLES.NS
FINEORG,Fine Organic Industries Limited,INE686Y01026,FINEORG.NS
FINKURVE,Finkurve Financial Services Limited,INE734I01027,FINKURVE.NS
FINOPB,Fino Payments Bank Limited,INE02NC01014,FINOPB.NS
FINPIPE,Finolex Industries Limited,INE183A01024,FINPIPE.NS
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,FIRSTCRY.NS
FISCHER,Fischer Medical Ventures Limited,INE771F01041,FISCHER.NS
FIVESTAR,Five-Star Business Finance Limited,INE128S01021,FIVESTAR.NS
FLAIR,Flair Writing Industries Limited,INE00Y201027,FLAIR.NS
FLEXITUFF,Flexituff Ventures International Limited,INE060J01017,FLEXITUFF.NS
FLFL,Future Lifestyle Fashions Limited,INE452O01016,FLFL.NS
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,FLUOROCHEM.NS
FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,FMGOETZE.NS
FMNL,Future Market Networks Limited,INE360L01017,FMNL.NS
FOCUS,Focus Lighting and Fixtures Limited,INE593W01028,FOCUS.NS
FOODSIN,Foods & Inns Limited,INE976E01023,FOODSIN.NS
FORCEMOT,FORCE MOTORS LTD,INE451A01017,FORCEMOT.NS
FORTIS,Fortis Healthcare Limited,INE061F01013,FORTIS.NS
FOSECOIND,Foseco India Limited,INE519A01011,FOSECOIND.NS
FSL,Firstsource Solutions Limited,INE684F01012,FSL.NS
FUSION,Fusion Finance Limited,INE139R01012,FUSION.NS
GABRIEL,Gabriel India Limited,INE524A01029,GABRIEL.NS
GAEL,Gujarat Ambuja Exports Limited,INE036B01030,GAEL.NS
GAIL,GAIL (India) Limited,INE129A01019,GAIL.NS
GALAPREC,Gala Precision Engineering Limited,INE0RE001014,GALAPREC.NS
GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,GALAXYSURF.NS
GALLANTT,Gallantt Ispat Limited,INE297H01019,GALLANTT.NS
GANDHAR,Gandhar Oil Refinery (India) Limited,INE717W01049,GANDHAR.NS
GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,GANDHITUBE.NS
GANECOS,Ganesha Ecosphere Limited,INE845D01014,GANECOS.NS
GANESHBE,Ganesh Benzoplast Limited,INE388A01029,GANESHBE.NS
GANESHCP,Ganesh Consumer Products Limited,INE652V01016,GANESHCP.NS
GANESHHOU,GANESH HOUSING LIMITED,INE460C01014,GANESHHOU.NS
GANGAFORGE,Ganga Forging Limited,INE691Z01023,GANGAFORGE.NS
GANGESSECU,Ganges Securities Limited,INE335W01016,GANGESSECU.NS
GARFIBRES,Garware Technical Fibres Limited,INE276A01018,GARFIBRES.NS
GARUDA,Garuda Construction and Engineering Limited,INE0JVO01026,GARUDA.NS
GATECH,GACM Technologies Limited,INE224E01028,GATECH.NS
GATECHDVR,GACM Technologies Limited,INE224E01036,GATECHDVR.NS
GATEWAY,Gateway Distriparks Limited,INE079J01017,GATEWAY.NS
GAYAHWS,Gayatri Highways Limited,INE287Z01012,GAYAHWS.NS
GCSL,Gretex Corporate Services Limited,INE199P01028,GCSL.NS
GEECEE,GeeCee Ventures Limited,INE916G01016,GEECEE.NS
GEEKAYWIRE,Geekay Wires Limited,INE669X01032,GEEKAYWIRE.NS
GEMAROMA,Gem Aromatics Limited,INE06XZ01023,GEMAROMA.NS
GENCON,Generic Engineering Construction and Projects Limited,INE854S01022,GENCON.NS
GENESYS,Genesys International Corporation Limited,INE727B01026,GENESYS.NS
GENSOL,Gensol Engineering Limited,INE06H201014,GENSOL.NS
GENUSPAPER,Genus Paper & Boards Limited,INE949P01018,GENUSPAPER.NS
GENUSPOWER,Genus Power Infrastructures Limited,INE955D01029,GENUSPOWER.NS
GEOJITFSL,Geojit Financial Services Limited,INE007B01023,GEOJITFSL.NS
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,GESHIP.NS
GFLLIMITED,GFL Limited,INE538A01037,GFLLIMITED.NS
GHCL,GHCL Limited,INE539A01019,GHCL.NS
GHCLTEXTIL,GHCL Textiles Limited,INE0PA801013,GHCLTEXTIL.NS
GICHSGFIN,GIC Housing Finance Limited,INE289B01019,GICHSGFIN.NS
GICRE,General Insurance Corporation of India,INE481Y01014,GICRE.NS
GILLANDERS,Gillanders Arbuthnot & Company Limited,INE047B01011,GILLANDERS.NS
GILLETTE,Gillette India Limited,INE322A01010,GILLETTE.NS
GINNIFILA,Ginni Filaments Limited,INE424C01010,GINNIFILA.NS
GIPCL,Gujarat Industries Power Company Limited,INE162A01010,GIPCL.NS
GKENERGY,GK Energy Limited,INE1AG301022,GKENERGY.NS
GKSL,Gujarat Kidney And Super Speciality Limited,INE0V0W01025,GKSL.NS
GKWLIMITED,GKW Limited,INE528A01020,GKWLIMITED.NS
GLAND,Gland Pharma Limited,INE068V01023,GLAND.NS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,GLENMARK.NS
GLOBAL,Global Education Limited,INE291W01037,GLOBAL.NS
GLOBALE,Globale Tessile Limited,INE0URU01010,GLOBALE.NS
GLOBALVECT,Global Vectra Helicorp Limited,INE792H01019,GLOBALVECT.NS
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021,GLOBE.NS
GLOBECIVIL,Globe Civil Projects Limited,INE0V3U01015,GLOBECIVIL.NS
GLOBUSSPR,Globus Spirits Limited,INE615I01010,GLOBUSSPR.NS
GLOSTERLTD,Gloster Limited,INE350Z01018,GLOSTERLTD.NS
GLOTTIS,Glottis Limited,INE0TQE01026,GLOTTIS.NS
GMBREW,GM Breweries Limited,INE075D01018,GMBREW.NS
GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,GMDCLTD.NS
GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,GMMPFAUDLR.NS
GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,GMRAIRPORT.NS
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,GMRP&UI.NS
GNA,GNA Axles Limited,INE934S01014,GNA.NS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,GNFC.NS
GOACARBON,Goa Carbon Limited,INE426D01013,GOACARBON.NS
GOCLCORP,GOCL Corporation Limited,INE077F01035,GOCLCORP.NS
GOCOLORS,Go Fashion (India) Limited,INE0BJS01011,GOCOLORS.NS
GODAVARIB,Godavari Biorefineries Limited,INE497S01012,GODAVARIB.NS
GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,GODFRYPHLP.NS
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,GODIGIT.NS
GODREJAGRO,Godrej Agrovet Limited,INE850D01014,GODREJAGRO.NS
GODREJCP,Godrej Consumer Products Limited,INE102D01028,GODREJCP.NS
GODREJIND,Godrej Industries Limited,INE233A01035,GODREJIND.NS
GODREJPROP,Godrej Properties Limited,INE484J01027,GODREJPROP.NS
GOKEX,Gokaldas Exports Limited,INE887G01027,GOKEX.NS
GOKUL,Gokul Refoils and Solvent Limited,INE020J01029,GOKUL.NS
GOKULAGRO,Gokul Agro Resources Limited,INE314T01033,GOKULAGRO.NS
GOLDENTOBC,Golden Tobacco Limited,INE973A01010,GOLDENTOBC.NS
GOLDIAM,Goldiam International Limited,INE025B01025,GOLDIAM.NS
GOLDTECH,AION-TECH SOLUTIONS LIMITED,INE805A01014,GOLDTECH.NS
GOODLUCK,Goodluck India Limited,INE127I01024,GOODLUCK.NS
GOPAL,Gopal Snacks Limited,INE0L9R01028,GOPAL.NS
GOYALALUM,Goyal Aluminiums Limited,INE705X01026,GOYALALUM.NS
GPIL,Godawari Power And Ispat limited,INE177H01039,GPIL.NS
GPPL,Gujarat Pipavav Port Limited,INE517F01014,GPPL.NS
GPTHEALTH,GPT Healthcare Limited,INE486R01017,GPTHEALTH.NS
GPTINFRA,GPT Infraprojects Limited,INE390G01014,GPTINFRA.NS
GRANULES,Granules India Limited,INE101D01020,GRANULES.NS
GRAPHITE,Graphite India Limited,INE371A01025,GRAPHITE.NS
GRASIM,Grasim Industries Limited,INE047A01021,GRASIM.NS
GRAVITA,Gravita India Limited,INE024L01027,GRAVITA.NS
